Estimation;EKF;;;;;
Acquisition;Simulation;;;;;
Representation;Euler Angles;;;;;
Time interval(s);12.0;Samp. Frequency(Hz);200;;;
Simulation Time(ms);552.819;Estimation time(ms);1257.446;Total Time(s);12.019;
Rotation Speed RPY(deg/s);0;0;30;Rotation Start/Stop(s);;
Initial RPY(deg);0;0;0;;;
Accelerometer Noise Power;0.038214;Accelerometer Noise Offset;0.0195;;;
Gyrometer Noise Power;0.01749;Gyrometer Noise Offset;0.0322;;;
Magnetometer Noise Power;1.204;;;;;
RMSE Roll(deg);1.96;RMSE Pitch(deg);2.07;RMSE Yaw(deg);2.82;Average RMSE(deg)
RMSE Roll(%);1.09;RMSE Pitch(%);1.15;RMSE Yaw(%);1.57;Average RMSE(%)
t(s);;;;r_est(d);p_est(d);y_est(d)
1.510;;;;1.01;-4.17;46.43
1.515;;;;2.80;-0.82;47.85
1.520;;;;-1.89;-3.09;45.99
1.525;;;;2.66;0.07;46.63
1.530;;;;-0.66;1.19;43.13
1.535;;;;1.18;1.58;43.90
1.540;;;;-0.13;-1.14;46.56
1.545;;;;1.65;-2.42;49.92
1.550;;;;3.25;-3.13;53.77
1.555;;;;-0.39;-0.92;50.58
1.560;;;;0.07;-3.71;51.83
1.565;;;;2.05;2.09;47.11
1.570;;;;0.69;-2.29;48.14
1.575;;;;1.01;-2.60;48.85
1.580;;;;0.29;-0.69;43.94
1.585;;;;1.43;-2.76;51.30
1.590;;;;4.12;-1.57;51.39
1.595;;;;-0.10;0.28;46.76
1.600;;;;-1.42;0.93;47.19
1.605;;;;2.65;-2.96;53.92
1.610;;;;-0.03;-1.00;50.37
1.615;;;;1.92;1.80;48.85
1.620;;;;0.39;-2.82;49.58
1.625;;;;0.31;-1.78;50.15
1.630;;;;-0.67;-0.75;50.27
1.635;;;;1.16;-1.48;52.79
1.640;;;;1.89;-0.21;48.51
1.645;;;;-0.07;-3.20;49.01
1.650;;;;-0.99;-0.89;49.06
1.655;;;;2.43;0.86;51.61
1.660;;;;-0.20;2.07;49.13
1.665;;;;-1.56;-1.24;47.31
1.670;;;;1.57;-1.92;48.83
1.675;;;;1.38;-0.20;54.29
1.680;;;;0.02;-1.33;54.89
1.685;;;;0.10;0.92;49.64
1.690;;;;1.93;-2.42;51.52
1.695;;;;-2.46;-1.18;50.58
1.700;;;;1.38;-2.49;54.87
1.705;;;;2.40;-0.73;54.41
1.710;;;;0.63;1.16;49.90
1.715;;;;0.55;0.04;50.04
1.720;;;;1.38;-0.38;53.04
1.725;;;;-1.78;3.14;45.48
1.730;;;;-1.00;-0.93;53.00
1.735;;;;-0.89;-1.46;54.13
1.740;;;;1.41;-0.73;55.40
1.745;;;;-0.81;1.24;55.25
1.750;;;;1.94;-1.86;54.15
1.755;;;;2.03;0.11;55.34
1.760;;;;1.07;-0.72;55.01
1.765;;;;1.99;-1.35;55.65
1.770;;;;-1.77;0.68;51.33
1.775;;;;-2.96;-0.80;52.66
1.780;;;;1.12;-0.43;51.97
1.785;;;;2.16;-1.26;52.15
1.790;;;;3.31;-0.70;55.38
1.795;;;;0.61;0.20;54.32
1.800;;;;-1.04;0.22;50.22
1.805;;;;0.88;-1.96;55.59
1.810;;;;2.53;-1.38;57.51
1.815;;;;-0.70;-0.52;53.85
1.820;;;;2.29;-4.49;58.01
1.825;;;;1.16;0.72;55.10
1.830;;;;0.54;0.10;52.65
1.835;;;;0.24;-1.78;55.54
1.840;;;;-0.99;4.39;50.53
1.845;;;;-1.51;0.17;51.52
1.850;;;;1.66;-3.80;55.95
1.855;;;;-1.34;0.44;53.67
1.860;;;;-0.98;-0.28;56.37
1.865;;;;-2.70;1.29;55.37
1.870;;;;-2.62;-0.02;54.78
1.875;;;;1.34;-3.63;58.53
1.880;;;;3.38;-4.24;64.12
1.885;;;;-2.31;0.07;56.47
1.890;;;;0.37;-0.38;55.76
1.895;;;;1.03;-2.40;58.79
1.900;;;;2.33;-0.73;59.71
1.905;;;;3.06;-3.39;61.90
1.910;;;;1.92;-5.10;63.02
1.915;;;;5.40;-2.35;63.29
1.920;;;;1.70;-0.76;60.17
1.925;;;;-0.67;-0.98;61.06
1.930;;;;1.00;-1.13;56.84
1.935;;;;2.73;0.20;58.33
1.940;;;;3.24;-2.81;63.08
1.945;;;;1.59;0.25;59.48
1.950;;;;1.77;-0.44;62.43
1.955;;;;-0.13;-1.17;61.25
1.960;;;;-2.15;2.63;54.46
1.965;;;;1.53;-0.31;59.97
1.970;;;;1.45;-1.48;62.33
1.975;;;;1.78;-2.29;61.86
1.980;;;;0.10;-2.44;65.71
1.985;;;;-0.88;-3.02;61.80
1.990;;;;2.79;-0.73;62.18
1.995;;;;2.40;-5.24;65.26
2.000;;;;3.77;-2.60;63.41
2.005;;;;-1.58;-0.01;59.57
2.010;;;;-2.17;-1.27;59.05
2.015;;;;-2.00;0.95;60.26
2.020;;;;-0.20;-1.20;62.56
2.025;;;;3.15;-0.80;63.04
2.030;;;;1.75;0.98;65.50
2.035;;;;1.93;0.09;62.65
2.040;;;;0.87;-1.45;65.08
2.045;;;;-0.03;-1.90;66.13
2.050;;;;-0.29;3.04;60.76
2.055;;;;3.88;1.28;59.98
2.060;;;;3.74;-3.82;67.42
2.065;;;;-0.04;1.48;62.47
2.070;;;;1.14;1.51;64.05
2.075;;;;2.99;-0.98;66.66
2.080;;;;2.04;0.80;63.57
2.085;;;;0.76;-3.79;63.74
2.090;;;;2.03;-5.80;68.32
2.095;;;;1.95;-0.87;67.01
2.100;;;;0.82;-3.35;69.47
2.105;;;;0.91;-4.78;70.07
2.110;;;;3.39;-2.65;67.31
2.115;;;;-2.81;-1.71;65.30
2.120;;;;-2.46;1.99;62.34
2.125;;;;-1.09;1.06;60.00
2.130;;;;-1.11;-2.32;61.09
2.135;;;;0.97;-3.05;65.27
2.140;;;;-1.15;-0.77;66.52
2.145;;;;0.11;0.59;63.96
2.150;;;;0.28;-0.13;63.02
2.155;;;;0.01;-0.89;62.26
2.160;;;;-0.05;1.44;64.01
2.165;;;;-0.95;0.45;63.62
2.170;;;;-0.28;-7.76;70.48
2.175;;;;0.66;-3.31;65.37
2.180;;;;2.89;-4.52;68.10
2.185;;;;-0.62;1.48;64.78
2.190;;;;-1.19;-2.57;69.94
2.195;;;;3.28;1.20;65.72
2.200;;;;0.47;1.01;67.18
2.205;;;;2.31;-2.59;67.56
2.210;;;;1.27;-3.04;67.33
2.215;;;;-0.87;-3.47;69.59
2.220;;;;1.80;-2.23;68.96
2.225;;;;-0.29;-2.98;68.87
2.230;;;;2.35;-1.59;74.09
2.235;;;;2.92;-3.17;74.07
2.240;;;;3.62;-5.68;75.10
2.245;;;;-0.25;0.52;69.36
2.250;;;;-1.95;0.84;63.89
2.255;;;;1.71;-2.38;68.18
2.260;;;;1.39;-4.05;69.30
2.265;;;;3.54;-2.83;71.45
2.270;;;;0.26;-2.82;70.34
2.275;;;;2.17;-3.38;72.10
2.280;;;;2.78;-5.35;74.40
