Line;Roll_Arduino;Pitch_Arduino;Yaw_Arduino;Roll_CSV;Pitch_CSV;Yaw_CSV;RMSE_Roll;RMSE_Pitch;RMSE_Yaw
1331;-0.47;-4.8;-160.12;0.08;-3.14;-161.24;0.5499999999999999;1.6599999999999997;1.1200000000000045
1332;-1.61;-2.26;-157.37;-1.12;-1.86;-157.89;0.49;0.3999999999999997;0.5199999999999818
1333;-0.35;-3.19;-161.9;-0.51;-2.81;-160.93;0.16000000000000003;0.3799999999999999;0.9699999999999989
1334;1.33;1.07;-156.38;1.4;0.62;-158.56;0.06999999999999984;0.45000000000000007;2.180000000000007
1335;2.03;-0.37;-162.58;1.92;0.52;-162.99;0.10999999999999988;0.89;0.4099999999999966
1336;2.46;-0.8;-160.53;2.27;-1.21;-163.47;0.18999999999999995;0.4099999999999999;2.9399999999999977
1337;2.62;-2.07;-154.77;2.73;-2.28;-160.31;0.10999999999999988;0.20999999999999996;5.539999999999992
1338;5.37;-3.3;-160.93;5.08;-2.22;-165.59;0.29000000000000004;1.0799999999999996;4.659999999999997
1339;0.01;-2.14;-158.85;0.65;-1.71;-161.55;0.64;0.43000000000000016;2.700000000000017
1340;5.32;-3.1;-157.83;5.12;-2.11;-163.68;0.20000000000000018;0.9900000000000002;5.849999999999994
1341;3.06;-2.62;-159.85;3.18;-2.4;-164.15;0.1200000000000001;0.2200000000000002;4.300000000000011
1342;2.74;-2.47;-153.84;3.16;-2.11;-159.77;0.41999999999999993;0.3600000000000003;5.930000000000007
1343;2.69;-1.98;-158.35;2.63;-1.82;-161.4;0.06000000000000005;0.15999999999999992;3.0500000000000114
1344;0.02;0.34;-155.26;0.43;-0.03;-157.34;0.41;0.37;2.0800000000000125
1345;-4.03;-0.81;-161.57;-3.55;-0.09;-157.49;0.4800000000000004;0.7200000000000001;4.079999999999984
1346;3.32;-1.72;-158.67;2.8;-1.04;-161.04;0.52;0.6799999999999999;2.3700000000000045
1347;4.74;-0.84;-156.43;4.46;-1.19;-161.86;0.28000000000000025;0.35;5.430000000000007
1348;1.67;-0.88;-159.34;1.88;-0.73;-161.72;0.20999999999999996;0.15000000000000002;2.3799999999999955
1349;-1.81;1.86;-160.16;-1.36;1.71;-158.99;0.44999999999999996;0.15000000000000013;1.1699999999999875
1350;-3.07;0.71;-156.12;-2.96;0.05;-154.58;0.10999999999999988;0.6599999999999999;1.539999999999992
1351;-2.18;1.87;-155.98;-2.33;1.23;-153.19;0.1499999999999999;0.6400000000000001;2.789999999999992
1352;3.58;-2.02;-153.17;3.28;-1.13;-156.21;0.30000000000000027;0.8900000000000001;3.0400000000000205
1353;5.02;-3.59;-157.72;4.46;-3.77;-162.06;0.5599999999999996;0.18000000000000016;4.340000000000003
1354;3.01;-1.39;-162.11;2.93;-1.16;-164.74;0.07999999999999963;0.22999999999999998;2.6299999999999955
1355;-1.27;-0.9;-158.75;-0.67;-0.74;-160.02;0.6;0.16000000000000003;1.2700000000000102
1356;1.08;-0.69;-157.23;1.14;-0.4;-159.01;0.05999999999999983;0.2899999999999999;1.7800000000000011
1357;1.07;1.53;-157.33;1.02;1.1;-158.29;0.050000000000000044;0.42999999999999994;0.9599999999999795
1358;0.26;4.14;-156.71;0.21;3.19;-156.39;0.05000000000000002;0.9499999999999997;0.3200000000000216
1359;3.2;-2.81;-157.46;3.07;-1.88;-160.03;0.13000000000000034;0.9300000000000002;2.569999999999993
1360;0.27;-1.24;-155.58;0.7;-0.95;-157.56;0.42999999999999994;0.29000000000000004;1.9799999999999898
1361;-0.81;0.72;-156.34;-0.46;0.97;-155.92;0.35000000000000003;0.25;0.4200000000000159
